unique_id,date,title,company,type,experience,salary,interview_difficulty
134290184548512,2022-05-23,database engineer,Apple,Tech,,72567,91.52
134290184541456,2022-10-21,trainee,Boeing,non-Tech,1,88462,63.63
134290184547072,2022-12-02,mechanic,Siemens,non-Tech,2,76864,69.15
134290184541024,2022-10-26,designer,Boeing,non-Tech,1,65158,75.31
134290184545392,2022-12-24,mechanic,Siemens,non-Tech,3,75332,62.11
134290184541648,2022-04-29,mechanic,Siemens,non-Tech,1,,76.4
134290184541696,2022-11-15,database engineer,Apple,Tech,,79527,73.55
134290184541600,2022-11-13,mechanic,Siemens,non-Tech,1,65655,76.53
134290184548224,2022-11-22,designer,Boeing,non-Tech,3,76658,86.28
134290184549280,2022-12-04,trainee,Siemens,non-Tech,4,80965,94.47
134290184536848,2022-07-13,trainee,Boeing,non-Tech,2,82209,87.42
134290184548320,2022-10-16,devops engineer,Apple,Tech,1,93011,80.68
134290184544816,2022-10-11,trainee,Boeing,non-Tech,2,88302,91.22
134290184548800,2022-05-15,platform engineer,Apple,Tech,2,88507,77.22
134290184542560,2022-11-12,database engineer,Apple,Tech,2,61779,78.71
134290184548080,2022-08-14,designer,Boeing,non-Tech,3,90897,74.41
134290184542464,2022-09-16,trainee,Boeing,non-Tech,3,69928,85.01
134290184543328,2022-12-04,database engineer,Apple,Tech,2,70383,84.04
134290184547984,2022-10-25,database engineer,Apple,Tech,3,94652,78.73
134290184548272,2022-10-25,devops engineer,Apple,Tech,1,73278,82.28
134290184547888,2022-06-11,mechanic,Siemens,non-Tech,2,70685,77.95
134290184543088,2022-11-23,trainee,Siemens,non-Tech,2,93278,71.22
134290184542992,2022-12-30,mechanic,Siemens,non-Tech,2,87155,78.55
134290184544672,2022-12-27,devops engineer,Apple,Tech,2,69189,74.07
134290184544864,2022-06-30,devops engineer,Apple,Tech,1,72083,97.76
134290184547312,2022-10-29,mechanic,Siemens,non-Tech,2,81255,80.05
134290184549136,2022-11-09,trainee,Boeing,non-Tech,2,81254,73.93
134290184545536,2022-10-20,trainee,Boeing,non-Tech,1,79121,73.83
134290184547648,2022-12-02,eletrician,Siemens,non-Tech,3,79596,71.0
134290184541120,2022-10-17,platform engineer,Apple,Tech,2,80743,73.4
134290184545584,2022-10-23,mechanic,Boeing,non-Tech,2,88373,79.67
134290184541936,2022-08-02,platform engineer,Apple,Tech,1,97962,65.49
134290184548128,2022-09-19,mechanic,Boeing,non-Tech,1,70988,79.86
134290184542176,2022-09-16,trainee,Siemens,non-Tech,4,,89.54
134290184545680,2022-07-29,trainee,Siemens,non-Tech,3,71214,61.18
134290184543232,2022-10-11,trainee,Siemens,non-Tech,2,79336,71.72
134290184548752,2022-10-10,database engineer,Apple,Tech,2,98444,67.49
134290184548464,2022-07-24,designer,Boeing,non-Tech,1,76927,76.32
134290184541984,2022-12-02,eletrician,Siemens,non-Tech,2,87428,73.2
134290184547408,2022-10-03,devops engineer,Apple,Tech,2,61462,83.32
134290184545776,2022-06-18,designer,Boeing,non-Tech,2,64007,73.08
134290184549040,2022-10-17,mechanic,Boeing,non-Tech,2,86873,74.81
134290184542752,2022-04-20,trainee,Siemens,non-Tech,2,81951,85.56
134290184542128,2022-11-02,mechanic,Boeing,non-Tech,2,79933,70.11
134290184547024,2022-06-17,mechanic,Siemens,non-Tech,3,85884,85.68
134290184546976,2022-11-12,designer,Boeing,non-Tech,3,78278,72.14
134290184542656,2022-09-14,trainee,Siemens,non-Tech,3,64283,84.7
134290184549520,2022-09-28,trainee,Boeing,non-Tech,2,76963,96.4
134290184543136,2022-09-12,platform engineer,Apple,Tech,1,86112,78.34
134290184547744,2022-08-01,database engineer,Apple,Tech,1,88484,64.38
134290184544912,2022-12-29,designer,Boeing,non-Tech,1,86257,84.25
134290184540880,2022-12-21,trainee,Siemens,non-Tech,1,79200,
134290184548032,2022-12-14,designer,Boeing,non-Tech,1,75552,72.02
134290184549088,2022-08-18,platform engineer,Apple,Tech,1,97287,77.96
134290184548944,,eletrician,Siemens,non-Tech,2,88689,69.27
134290184549424,2022-12-04,database engineer,Apple,Tech,2,77595,69.93
134290184541216,2022-08-13,database engineer,Apple,Tech,3,82444,92.62
134290184540976,2022-05-16,mechanic,Boeing,non-Tech,3,66275,71.21
134290184544624,2022-10-07,database engineer,Apple,Tech,2,77475,70.44
134290184541552,2022-12-08,database engineer,Apple,Tech,1,79972,79.66
134290184542608,2022-12-25,designer,Boeing,non-Tech,2,81363,68.08
134290184541408,2022-12-12,mechanic,Siemens,non-Tech,3,79831,66.51
134290184541744,2022-11-28,trainee,Boeing,non-Tech,2,76237,71.35
134290184542416,2022-11-03,platform engineer,Apple,Tech,1,88654,70.69
134290184543280,2022-12-28,mechanic,Siemens,non-Tech,4,70798,93.38
134290184542512,2022-09-28,mechanic,Boeing,non-Tech,3,74911,80.05
134290184542848,2022-07-11,devops engineer,Apple,Tech,1,64443,91.09
134290184545488,2022-08-18,platform engineer,Apple,Tech,1,67896,77.69
134290184548608,2022-12-30,platform engineer,Apple,Tech,2,73207,72.92
134290184548896,2022-10-31,mechanic,Boeing,non-Tech,2,71181,81.91
134290184547264,2022-08-24,database engineer,Apple,Tech,2,76023,81.48
134289279331552,2022-10-02,mechanic,Siemens,non-Tech,2,64979,64.61
134289279331600,2022-11-02,platform engineer,Apple,Tech,2,94598,90.63
134289279331648,2022-07-29,trainee,Boeing,non-Tech,1,83870,73.08
134289279331696,2022-11-27,mechanic,Boeing,non-Tech,2,83658,85.43
134289279330448,2022-10-04,database engineer,Apple,Tech,3,88284,72.57
134289279330400,2022-10-18,database engineer,Apple,Tech,1,66217,91.96
134289279330352,2022-12-06,trainee,Siemens,non-Tech,3,98834,86.51
134289279330304,2022-10-02,platform engineer,Apple,Tech,2,75106,77.44
134289279330256,2022-12-16,trainee,Siemens,non-Tech,4,90934,84.2
134289279330208,2022-11-14,trainee,Boeing,non-Tech,2,64087,71.52
134289279332080,2022-10-05,trainee,Boeing,non-Tech,2,79211,72.59
134289279332128,2022-08-27,mechanic,Siemens,non-Tech,3,66003,76.28
134289279332176,,designer,Boeing,non-Tech,2,91089,77.48
134289279332224,2022-07-07,devops engineer,Apple,Tech,3,92898,73.17
134289279331504,2022-08-08,trainee,Boeing,non-Tech,1,72393,94.06
134289279331456,2022-11-25,trainee,Boeing,non-Tech,2,85807,
134289279331408,2022-12-19,devops engineer,Apple,Tech,1,87429,71.8
134289279331360,2022-08-22,designer,Boeing,non-Tech,3,82247,63.33
134289279331312,2022-11-22,database engineer,Apple,Tech,2,68785,75.0
134289279331264,2022-10-05,platform engineer,Apple,Tech,3,77845,95.55
134289279331216,2022-12-08,mechanic,Siemens,non-Tech,1,96930,86.15
134289279331168,2022-06-16,mechanic,Boeing,non-Tech,,73675,85.4
134289279330496,,mechanic,Siemens,non-Tech,2,95151,96.84
134289279330544,2022-11-04,platform engineer,Apple,Tech,2,61338,89.76
134289279330592,2022-12-28,devops engineer,Apple,Tech,1,82851,86.82
134289279330640,2022-07-29,mechanic,Boeing,non-Tech,3,,74.05
134289279330688,2022-07-02,eletrician,Siemens,non-Tech,1,85459,72.76
134289279330736,2022-07-14,designer,Boeing,non-Tech,3,79081,68.7
134289279330784,2022-12-29,mechanic,Siemens,non-Tech,2,95207,
134289279330832,2022-09-12,platform engineer,Apple,Tech,3,78325,75.81
134289279330880,2022-08-16,mechanic,Boeing,non-Tech,1,61872,67.11
134289279330928,,mechanic,Boeing,non-Tech,2,88698,
134289279330976,2022-07-04,eletrician,Siemens,non-Tech,3,87282,73.26
134289279331024,2022-06-18,database engineer,Apple,Tech,2,90357,84.14
134289279331072,2022-10-25,database engineer,Apple,Tech,1,95799,73.77
134289279331120,2022-09-29,eletrician,Siemens,non-Tech,2,74836,81.95
134289279331744,2022-12-14,mechanic,Boeing,non-Tech,2,73002,68.25
134289279331792,2022-04-24,mechanic,Boeing,non-Tech,3,88680,93.63
134289279331840,2022-09-17,designer,Boeing,non-Tech,2,85337,68.57
134289279331888,2022-09-03,database engineer,Apple,Tech,2,80402,67.57
134289279330160,2022-12-16,devops engineer,Apple,Tech,2,80229,73.48
134289279330112,2022-11-28,platform engineer,Apple,Tech,2,73473,63.39
134289279330064,2022-12-17,mechanic,Boeing,non-Tech,1,81690,76.25
134289279330016,2022-11-06,eletrician,Siemens,non-Tech,2,88282,84.13
134289279329968,2022-11-10,eletrician,Siemens,non-Tech,4,82693,72.01
134289279329920,2022-11-19,eletrician,Siemens,non-Tech,2,82154,
134289279329872,2022-07-16,eletrician,Siemens,non-Tech,3,87134,73.0
134289279329824,2022-12-19,trainee,Boeing,non-Tech,3,87731,86.79
134289279329776,2022-12-23,database engineer,Apple,Tech,3,64338,85.15
134289279329728,2022-09-14,trainee,Boeing,non-Tech,3,82718,74.17
134289279329680,2022-11-24,trainee,Siemens,non-Tech,1,75927,67.7
134289279329632,2022-12-21,database engineer,Apple,Tech,2,83169,79.2
134289279329584,2022-07-12,mechanic,Siemens,non-Tech,1,76350,78.74
134289279328432,2022-04-14,eletrician,Siemens,non-Tech,4,81826,94.75
134289279328384,2022-11-06,designer,Boeing,non-Tech,2,70617,72.08
134289279328336,2022-12-26,designer,Boeing,non-Tech,1,71972,86.77
134289279323872,2022-10-21,mechanic,Boeing,non-Tech,1,83643,72.44
134289279323824,2022-11-20,devops engineer,Apple,Tech,2,89489,90.75
134289279323776,2022-11-29,database engineer,Apple,Tech,2,,99.1
134289279324880,2022-12-12,designer,Boeing,non-Tech,3,78079,77.91
134289279323968,2022-10-16,devops engineer,Apple,Tech,3,74224,97.84
134289279327376,2022-04-25,trainee,Siemens,non-Tech,2,65601,88.72
134289279327424,2022-07-25,designer,Boeing,non-Tech,3,85155,83.85
134289279327472,2022-12-26,mechanic,Siemens,non-Tech,2,78941,77.06
134289279327520,2022-05-21,trainee,Boeing,non-Tech,2,85551,65.19
134289279327568,2022-07-28,mechanic,Boeing,non-Tech,2,74774,81.94
134289279327616,2022-12-11,trainee,Siemens,non-Tech,4,81582,75.52
134289279327664,2022-06-06,designer,Boeing,non-Tech,2,68101,70.3
134289279327712,2022-10-16,database engineer,Apple,Tech,3,85493,88.75
134289279327760,2022-07-05,trainee,Boeing,non-Tech,,82399,88.83
134289279327808,2022-11-19,mechanic,Boeing,non-Tech,1,72056,66.01
134289279327856,2022-08-10,devops engineer,Apple,Tech,3,68253,82.89
134289279327904,2022-06-18,trainee,Boeing,non-Tech,2,62045,92.79
134289279327952,2022-06-13,database engineer,Apple,Tech,3,99574,80.26
134289279329248,2022-09-13,devops engineer,Apple,Tech,2,70343,70.24
134289279329296,2022-11-02,designer,Boeing,non-Tech,4,91224,70.71
134289279329344,2022-11-22,trainee,Siemens,non-Tech,,72870,92.31
134289279328480,2022-06-23,eletrician,Siemens,non-Tech,1,98050,69.21
134289279328000,2022-12-27,mechanic,Siemens,non-Tech,1,63913,84.68
134289279328048,2022-12-25,platform engineer,Apple,Tech,1,84896,66.62
134289279328096,2022-12-06,platform engineer,Apple,Tech,2,75809,94.22
134289279328144,2022-11-22,devops engineer,Apple,Tech,1,78863,85.2
134289279323920,2022-09-25,devops engineer,Apple,Tech,2,,87.96
134289279327328,2022-04-13,database engineer,Apple,Tech,1,63315,92.06
134289279327280,2022-11-02,trainee,Siemens,non-Tech,2,83869,77.61
134289279323392,2022-10-30,trainee,Siemens,non-Tech,2,79416,65.22
134289279323440,2022-08-26,devops engineer,Apple,Tech,2,96041,86.77
134289279324832,2022-10-25,trainee,Boeing,non-Tech,1,73247,89.4
134289279324784,2022-12-01,platform engineer,Apple,Tech,2,83585,80.57
134289279324736,2022-09-07,eletrician,Siemens,non-Tech,1,87413,65.27
134289279324688,2022-10-22,platform engineer,Apple,Tech,1,72946,76.17
134289279324640,2022-12-07,mechanic,Boeing,non-Tech,1,80738,70.45
134289279324592,2022-06-17,database engineer,Apple,Tech,1,91941,88.94
134289279324544,2022-12-25,mechanic,Siemens,non-Tech,3,81633,89.47
134289279324496,2022-12-10,eletrician,Siemens,non-Tech,3,83349,84.3
134289279324448,2022-08-26,mechanic,Siemens,non-Tech,1,65525,74.79
134289279324400,2022-06-14,platform engineer,Apple,Tech,1,69477,
134289279324352,2022-09-26,mechanic,Boeing,non-Tech,2,71044,79.78
134289279324304,2022-08-09,designer,Boeing,non-Tech,4,77674,
134289279324256,2022-05-28,devops engineer,Apple,Tech,2,62754,68.83
134289279324208,2022-11-22,trainee,Boeing,non-Tech,2,86588,94.55
134289279324928,2022-12-04,eletrician,Siemens,non-Tech,1,74795,84.81
134289279324976,2022-12-09,designer,Boeing,non-Tech,2,74750,87.58
134289279325024,2022-09-19,mechanic,Boeing,non-Tech,1,96505,96.19
134289279325072,2022-10-11,designer,Boeing,non-Tech,2,88774,82.08
134289279325120,2022-10-15,database engineer,Apple,Tech,1,93544,85.58
134289279325168,2022-11-30,mechanic,Siemens,non-Tech,2,83317,85.35
134289279325216,2022-04-24,platform engineer,Apple,Tech,2,70424,62.76
134289279325264,2022-09-18,trainee,Siemens,non-Tech,1,80049,91.06
134289279325312,2022-06-12,eletrician,Siemens,non-Tech,3,75097,60.96
134289279325360,2022-12-04,mechanic,Siemens,non-Tech,1,79202,67.95
134289279325408,2022-10-08,mechanic,Boeing,non-Tech,1,74796,90.65
134289279325456,2022-12-20,designer,Boeing,non-Tech,1,96442,72.86
134289279325504,2022-09-25,trainee,Boeing,non-Tech,3,81475,88.08
134289279325552,2022-12-04,database engineer,Apple,Tech,3,74201,91.6
134289279327232,2022-12-18,platform engineer,Apple,Tech,1,77081,76.79
134289279327184,2022-12-16,trainee,Siemens,non-Tech,1,94146,86.8
134289279327136,2022-10-31,platform engineer,Apple,Tech,2,72422,80.55
134289279327088,2022-11-04,mechanic,Siemens,non-Tech,2,76318,91.74
134289279327040,2022-09-22,mechanic,Boeing,non-Tech,,71459,76.33
134289279326416,2022-09-26,mechanic,Siemens,non-Tech,3,69796,96.17
134289279326368,2022-12-31,trainee,Siemens,non-Tech,,95629,72.76
134289279326320,2022-07-28,eletrician,Siemens,non-Tech,,89380,96.45
134289279326272,2022-07-13,platform engineer,Apple,Tech,3,76963,83.37
134289279326224,2022-11-05,trainee,Siemens,non-Tech,2,66161,74.36
134289279326128,2022-11-23,trainee,Siemens,non-Tech,2,90251,87.61
134289279326080,2022-11-08,database engineer,Apple,Tech,1,78326,74.63
134289279326032,2022-10-21,devops engineer,Apple,Tech,1,66351,88.83
134289279325984,2022-12-28,trainee,Siemens,non-Tech,1,73408,73.99
134289279325936,2022-09-09,mechanic,Siemens,non-Tech,1,75735,67.78
134289279325888,2022-12-13,devops engineer,Apple,Tech,2,68640,81.42
134289279325840,2022-09-29,platform engineer,Apple,Tech,2,67026,78.99
134289279325792,2022-07-12,devops engineer,Apple,Tech,3,91225,89.0
134289279325744,2022-11-13,trainee,Siemens,non-Tech,3,69447,87.0
134289279325696,2022-07-12,designer,Boeing,non-Tech,1,73187,83.79
134289279325648,2022-09-13,platform engineer,Apple,Tech,2,76588,79.02
134289279325600,2022-10-20,mechanic,Boeing,non-Tech,3,86659,93.91
134289279320368,2022-11-21,mechanic,Boeing,non-Tech,1,70732,71.4
134289279320320,2022-11-19,mechanic,Siemens,non-Tech,1,89233,61.3
134289279320272,2022-09-09,platform engineer,Apple,Tech,2,78190,86.52
134289279326464,2022-11-08,platform engineer,Apple,Tech,1,78280,67.76
134289279326512,2022-12-03,mechanic,Siemens,non-Tech,2,80473,86.04
134289279326560,2022-08-26,designer,Boeing,non-Tech,2,69761,78.67
134289279326608,2022-08-17,mechanic,Siemens,non-Tech,2,88458,84.76
134289279326656,2022-12-09,trainee,Siemens,non-Tech,,79122,60.05
134289279326704,2022-11-20,eletrician,Siemens,non-Tech,2,61742,93.27
134289279326752,2022-11-30,designer,Boeing,non-Tech,2,67262,60.82
134289279326800,2022-06-28,trainee,Boeing,non-Tech,1,86265,73.35
134289279326848,2022-10-18,trainee,Boeing,non-Tech,1,80725,81.58
134289279326896,2022-09-07,mechanic,Siemens,non-Tech,2,76908,79.42
134289279326944,2022-09-22,mechanic,Boeing,non-Tech,1,93153,83.25
134289279322000,2022-12-16,trainee,Siemens,non-Tech,2,75806,61.75
134289279321952,2022-06-19,mechanic,Boeing,non-Tech,2,72416,82.0
134289279321904,2022-12-16,mechanic,Siemens,non-Tech,3,76751,76.69
134289279321856,2022-10-12,devops engineer,Apple,Tech,2,79411,70.31
134289279321808,2022-08-22,eletrician,Siemens,non-Tech,2,85014,79.0
134289279321760,2022-11-11,database engineer,Apple,Tech,3,71677,70.38
134289279321712,2022-07-29,platform engineer,Apple,Tech,1,78090,82.16
134289279321664,2022-05-20,mechanic,Boeing,non-Tech,1,93801,88.14
134289279321616,2022-06-08,mechanic,Siemens,non-Tech,2,77417,86.61
134289279321568,2022-11-16,designer,Boeing,non-Tech,1,65357,60.56
134289279321520,2022-11-29,database engineer,Apple,Tech,2,76820,78.87
134289279321472,2022-09-23,trainee,Siemens,non-Tech,3,69720,80.8
134289279321424,2022-11-04,designer,Boeing,non-Tech,2,84472,71.31
134289279321376,2022-09-19,platform engineer,Apple,Tech,3,91954,73.36
134289279321328,2022-11-14,devops engineer,Apple,Tech,4,94230,75.55
134289279321280,,trainee,Boeing,non-Tech,2,75507,88.63
134289279321232,2022-09-24,devops engineer,Apple,Tech,1,93883,97.54
134289279321184,2022-12-26,database engineer,Apple,Tech,2,73297,86.53
134289279321136,2022-06-04,database engineer,Apple,Tech,1,84651,72.52
134289279321088,2022-12-03,designer,Boeing,non-Tech,1,84355,71.09
134289279321040,2022-12-25,mechanic,Siemens,non-Tech,3,84190,88.49
134289279320992,2022-07-25,mechanic,Boeing,non-Tech,1,82165,72.6
134289279320944,,devops engineer,Apple,Tech,,74951,73.13
134289279320896,2022-11-18,designer,Boeing,non-Tech,4,85334,84.58
134289279320848,,trainee,Boeing,non-Tech,2,93363,83.63
134289279320800,2022-12-05,mechanic,Boeing,non-Tech,3,83889,88.55
134289279320752,2022-09-03,designer,Boeing,non-Tech,1,91398,73.17
134289279320704,2022-11-21,trainee,Boeing,non-Tech,2,83978,99.28
134289279323344,2022-11-20,devops engineer,Apple,Tech,1,85516,72.58
134289279323296,2022-12-03,trainee,Siemens,non-Tech,2,82269,96.94
134289279323248,,eletrician,Siemens,non-Tech,3,84636,72.51
134289279323200,2022-04-06,mechanic,Siemens,non-Tech,2,68702,78.88
134289279323152,2022-12-02,mechanic,Siemens,non-Tech,2,91608,73.12
134289279323104,,trainee,Boeing,non-Tech,2,80311,95.17
134289279323056,2022-10-12,platform engineer,Apple,Tech,1,97255,
134289279323008,2022-12-15,trainee,Siemens,non-Tech,1,77162,87.8
134289279322960,2022-08-11,platform engineer,Apple,Tech,3,84983,80.57
134289279322912,2022-11-14,mechanic,Boeing,non-Tech,3,80349,78.34
134289279322864,2022-12-02,mechanic,Boeing,non-Tech,1,87336,99.92
134289279322816,2022-03-18,designer,Boeing,non-Tech,2,62481,88.19
134289279322768,2022-10-26,trainee,Boeing,non-Tech,,91121,73.04
134289279322720,2022-09-30,mechanic,Siemens,non-Tech,3,,87.24
134289279320416,2022-11-21,trainee,Boeing,non-Tech,2,89946,75.03
134289279320464,2022-11-17,database engineer,Apple,Tech,1,72494,68.85
134289279320512,2022-07-04,mechanic,Boeing,non-Tech,3,83829,67.06
134289279320560,2022-12-17,devops engineer,Apple,Tech,1,77073,88.33
134289279326992,2022-11-21,mechanic,Boeing,non-Tech,2,85981,78.88
134289279320128,2022-07-25,mechanic,Boeing,non-Tech,2,77904,76.63
134289279320176,2022-07-25,mechanic,Siemens,non-Tech,2,73069,77.22
134289279320224,2022-07-20,trainee,Boeing,non-Tech,1,90690,64.72
134289279322672,2022-12-03,devops engineer,Apple,Tech,1,89898,
134289279322624,2022-10-06,mechanic,Boeing,non-Tech,3,84609,90.56
134289279322576,2022-10-02,designer,Boeing,non-Tech,1,79259,77.18
134289279324016,2022-09-23,mechanic,Boeing,non-Tech,1,71811,95.0
134289279324064,,trainee,Boeing,non-Tech,1,,82.22
134289279324112,2022-08-27,database engineer,Apple,Tech,3,90905,69.51
134289279324160,2022-07-20,eletrician,Siemens,non-Tech,1,60062,62.08
134289279328288,2022-09-26,platform engineer,Apple,Tech,2,76733,83.57
134289279328240,2022-12-27,database engineer,Apple,Tech,1,74771,64.72
134289279328192,2022-08-05,mechanic,Boeing,non-Tech,1,62297,79.27
134289279322528,2022-08-30,trainee,Siemens,non-Tech,1,79514,79.92
134289279322480,2022-08-27,mechanic,Boeing,non-Tech,1,60037,92.03
134289279322432,2022-06-09,mechanic,Siemens,non-Tech,1,83355,67.16
134289279322384,2022-12-27,eletrician,Siemens,non-Tech,,85296,
134289279322336,2022-08-06,mechanic,Siemens,non-Tech,1,80042,88.78
134289279332032,2022-03-19,mechanic,Siemens,non-Tech,1,68317,74.95
134289279331984,2022-09-03,eletrician,Siemens,non-Tech,3,67730,68.77
134289279331936,2022-08-20,eletrician,Siemens,non-Tech,2,94382,78.08
134289279329008,2022-08-31,eletrician,Siemens,non-Tech,1,78850,71.19
134289279328960,2022-10-31,database engineer,Apple,Tech,3,71299,64.65
134289279328912,2022-10-28,database engineer,Apple,Tech,2,88076,85.82
134289279328864,2022-05-30,mechanic,Siemens,non-Tech,3,84589,
134289279328816,,eletrician,Siemens,non-Tech,2,85534,84.98
134289279328768,2022-11-12,designer,Boeing,non-Tech,1,66428,71.24
134289279328720,2022-10-12,database engineer,Apple,Tech,1,82339,67.11
134289279328672,2022-12-18,designer,Boeing,non-Tech,1,86070,92.67
134289279328624,2022-08-04,designer,Boeing,non-Tech,2,69583,66.99
134289279328576,2022-12-19,platform engineer,Apple,Tech,1,79233,84.56
134289279328528,2022-12-11,database engineer,Apple,Tech,1,96195,72.09
134289279323488,2022-11-30,designer,Boeing,non-Tech,2,76467,90.22
134289279323536,2022-10-29,mechanic,Boeing,non-Tech,4,65398,74.04
134289279323584,2022-12-22,trainee,Boeing,non-Tech,1,61913,71.45
134289279323632,2022-05-12,database engineer,Apple,Tech,3,77108,79.01
134289279323680,2022-10-14,trainee,Boeing,non-Tech,3,86779,99.22
134289279323728,2022-05-08,eletrician,Siemens,non-Tech,2,77836,85.59
134289279320608,2022-07-25,trainee,Boeing,non-Tech,1,87086,67.87
134289279320656,2022-12-19,trainee,Boeing,non-Tech,2,87757,89.22
134289279322048,2022-11-21,eletrician,Siemens,non-Tech,2,61700,75.29
134289279329392,2022-10-10,designer,Boeing,non-Tech,2,66597,79.9
134289279329440,2022-10-12,designer,Boeing,non-Tech,,88942,68.34
134289279329488,2022-10-03,mechanic,Siemens,non-Tech,2,79230,74.96
134289279329536,2022-11-04,devops engineer,Apple,Tech,2,75181,90.99
134289279329056,2022-09-27,mechanic,Boeing,non-Tech,1,68433,74.34
134289279329104,2022-09-04,database engineer,Apple,Tech,2,,85.44
134289279329152,2022-11-17,mechanic,Siemens,non-Tech,2,76985,99.67
134289279329200,2022-11-26,eletrician,Siemens,non-Tech,2,91561,82.75
134289279322096,2022-09-10,devops engineer,Apple,Tech,2,72245,84.77
